codigo_atv,paradigma,periodo,laboratorio
U61k02zZY,C,2017.2,C
LsEjqKerA,C,2017.2,C
OwJdqYJF2,C,2017.2,C
QKcOCkxgO,Haskell,2017.2,HaskellB
QG3zXicdc,Haskell,2017.2,HaskellB
NZk25Cqxs,Haskell,2017.2,HaskellB
QEdb638AC,Haskell,2017.2,HaskellA
NMUA79rRw,Haskell,2017.2,HaskellA
PtgBJ0pQO,Haskell,2017.2,HaskellA
MiQTU7m76,Prolog,2017.2,PrologB
QEDoVk8tE,Prolog,2017.2,PrologB
RYIhBbemO,Prolog,2017.2,PrologB
SkxZnd5iC,Prolog,2017.2,PrologA
SNv2YRKj2,Prolog,2017.2,PrologA
NXSmnt0fw,Prolog,2017.2,PrologA
PwDK8kgEa,C,2018.1,C
Q4wa73GpE,C,2018.1,C
U0VYCbVQW,C,2018.1,C
SVqGDYZsW,Haskell,2018.1,HaskellB
L4o87izAG,Haskell,2018.1,HaskellB
S7l4AKn20,Haskell,2018.1,HaskellB
S1y6iT1QO,Haskell,2018.1,HaskellA
PYHdqJCqm,Haskell,2018.1,HaskellA
QaQSw1Z3Y,Haskell,2018.1,HaskellA
QKM3Xvd8C,Prolog,2018.1,PrologB
PvlPfDNp2,Prolog,2018.1,PrologB
RYIhBbemO2,Prolog,2018.1,PrologB
NWvHSWlQO,Prolog,2018.1,PrologA
SV67ZG6Cm,Prolog,2018.1,PrologA
Sd6GVg8cC,Prolog,2018.1,PrologA
UqBk7Iogi,C,2018.2,C
QEKAYNs00,C,2018.2,C
MgUDVyxCy,C,2018.2,C
PwBB0JTiS,Haskell,2018.2,HaskellB
Pq8anCMhE,Haskell,2018.2,HaskellB
QKXLR4Pcu,Haskell,2018.2,HaskellB
QGQirYEhU,Haskell,2018.2,HaskellA
SWdTuSnEO,Haskell,2018.2,HaskellA
PtXk9iuGG,Haskell,2018.2,HaskellA
SdMXDG2me,Prolog,2018.2,PrologB
RuvTx3uKG,Prolog,2018.2,PrologB
NMDxTdkmm,Prolog,2018.2,PrologB
QJhGVeetU,Prolog,2018.2,PrologA
StYJaP03k,Prolog,2018.2,PrologA
Q9cgz50Eq,Prolog,2018.2,PrologA
Poh8cp41g,C,2019.1,C
Ps0svrkLA,C,2019.1,C
SpVaY6WO0,C,2019.1,C
NIQE9tRGS,Haskell,2019.1,HaskellB
MKYuuqVCy,Haskell,2019.1,HaskellB
Sxkm1vd4a,Haskell,2019.1,HaskellB
Rby1sBQg4,Haskell,2019.1,HaskellA
U9zZK7UTQ,Haskell,2019.1,HaskellA
LTtM1Ewvg,Haskell,2019.1,HaskellA
SZbrJ4GdU,Prolog,2019.1,PrologB
SnTDyTMye,Prolog,2019.1,PrologB
MVINJtI4e,Prolog,2019.1,PrologB
Q3GdPjK3k,Prolog,2019.1,PrologA
PrEZGBKYi,Prolog,2019.1,PrologA
NH0PDmndQ,Prolog,2019.1,PrologA
